Strategy,Local_Epochs,Round,Elapsed_s,Test_Loss
High Sync (1 epoch/round),1,1,27.431389,0.01766399
High Sync (1 epoch/round),1,2,49.162466,0.01517167
High Sync (1 epoch/round),1,3,70.503455,0.01376308
High Sync (1 epoch/round),1,4,92.260911,0.01287828
High Sync (1 epoch/round),1,5,114.661236,0.01220179
High Sync (1 epoch/round),1,6,136.713152,0.01178370
High Sync (1 epoch/round),1,7,159.349867,0.01169831
High Sync (1 epoch/round),1,8,181.141166,0.01156218
High Sync (1 epoch/round),1,9,203.941687,0.01147524
High Sync (1 epoch/round),1,10,225.447825,0.01172872
Medium Sync (3 epochs/round),3,1,63.012320,0.01716101
Medium Sync (3 epochs/round),3,2,126.532716,0.01489703
Medium Sync (3 epochs/round),3,3,189.667457,0.01362824
Medium Sync (3 epochs/round),3,4,251.370321,0.01292649
Medium Sync (3 epochs/round),3,5,315.332080,0.01259657
Medium Sync (3 epochs/round),3,6,377.200033,0.01229542
Medium Sync (3 epochs/round),3,7,443.410483,0.01187253
Medium Sync (3 epochs/round),3,8,504.140266,0.01149264
Medium Sync (3 epochs/round),3,9,569.290698,0.01135059
Medium Sync (3 epochs/round),3,10,633.722490,0.01097244
Low Sync (10 epochs/round),10,1,233.495695,0.01678137
Low Sync (10 epochs/round),10,2,440.349533,0.01444003
Low Sync (10 epochs/round),10,3,651.528126,0.01291345
Low Sync (10 epochs/round),10,4,861.070007,0.01180374
Low Sync (10 epochs/round),10,5,1080.551272,0.01090187
Low Sync (10 epochs/round),10,6,1292.836834,0.01021519
Low Sync (10 epochs/round),10,7,1506.262761,0.00996939
Low Sync (10 epochs/round),10,8,1720.418252,0.00995788
Low Sync (10 epochs/round),10,9,1935.324730,0.01001076
Low Sync (10 epochs/round),10,10,2146.778870,0.01012565
